track,artist,bpm,art_url,dominant_color,mood
Mr. E,Red Velvet,96.98,https://images.genius.com/5bbe53e07dca94cb16556d2ec3d4c604.1000x1000x1.png,"(164, 217, 247)",happy
Ice Cream Cake,Red Velvet,114.8,https://images.genius.com/e0d6f5c7c71f62d490de7c235e55b0b4.1000x1000x1.png,"(240, 233, 219)",happy
Bad Dracula,Red Velvet,125,https://images.genius.com/1c60cf649a9f383e0644b5f0ef96a851.1000x1000x1.png,"(220, 243, 251)",happy
SAPPY,Red Velvet,106.13,https://images.genius.com/cb4a7c90c9cd14c2477adf5c6d122c6e.1000x1000x1.png,"(227, 179, 172)",happy
View,SHINee,125,https://images.genius.com/b5ca82ec63fb0f3e6afd5d16ab71ca8c.1000x1000x1.png,"(99, 180, 190)",happy
Lucifer,SHINee,125,https://images.genius.com/f2fa330bb8f9b64925f6bff9a21d9e9e.1000x1000x1.png,"(204, 142, 145)",happy
Love Is The Way,Thee Sacred Souls,96.98,https://images.genius.com/4ccc8eca86a101938ac161d92ead2611.400x400x1.png,"(216, 180, 151)",happy
Beaches,beabadoobee,82,https://images.genius.com/97cd41cc00f04697fc7747d42c9bcb0f.1000x1000x1.png,"(38, 38, 46)",happy
so american,Olivia Rodrigo,125,https://images.genius.com/02fc0cedb961ab29fcaf3e5e48db681e.1000x1000x1.png,"(50, 37, 60)",happy
Stateside,PinkPantheress,122.29,https://images.genius.com/34995851b99efaaf6261c52117e1c34e.1000x1000x1.png,"(30, 27, 27)",happy
Giri Giri,ATARASHII GAKKO!,133.93,https://images.genius.com/f211e5ef81c81bcac8cb6260f02d4436.1000x1000x1.png,"(217, 208, 201)",happy
Push The Feeling On - Mk Dub Revisited Edit,Nightcrawlers,122.28,https://images.genius.com/e7588d84c53340069b461606f4dd5844.600x600x1.jpg,"(249, 247, 62)",happy
Space Cowboy (Classic Radio),Jamiroquai,119.68,https://images.genius.com/73481512e1ddc3e61a6045fd4b08e398.600x600x1.jpg,"(173, 81, 49)",happy
Caramel,Sleep Token,125,https://images.genius.com/d570699df374163e5516034a8a1a7cb2.1000x1000x1.png,"(191, 175, 145)",happy
Red Flavor,Red Velvet,160.71,https://images.genius.com/04b1f98c988cd98396bb7024ee9e2e86.1000x1000x1.png,"(241, 89, 51)",happy
Europapa,Joost,127.84,https://images.genius.com/04061afb8d27ca078656cb12226c839b.1000x1000x1.png,"(180, 211, 215)",happy
花になって - Be a flower,Ryokuoushoku Shakai,122.28,https://images.genius.com/8f8f117de6e330cf4be7200559874d7b.1000x1000x1.png,"(235, 227, 213)",happy
Head & Heart (feat. MNEK),Joel Corry,122.28,https://images.genius.com/882c2681a5c8a875e22f6a36745050ac.999x999x1.png,"(194, 173, 144)",happy
Good Riddance (Time of Your Life),Green Day,125,https://images.genius.com/d157707a0d677dfd0da94d22384a61a7.842x842x1.png,"(132, 94, 49)",happy
I Don't Feel Like Dancin',Scissor Sisters,108.17,https://images.genius.com/5a7580eaf74a155e70a0494b2911c4d9.1000x919x1.png,"(195, 187, 186)",happy
